Checked,Name,Formula,Annotation Source: Predicted Compositions,Annotation Source: mzCloud Search,Annotation Source: ChemSpider Search,Annotation Source: MassList Match,FISh Coverage,Molecular Weight,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,Mass List Match: Endogenous Metabolites database 4400 compounds,Mass List Match: Extractables and Leachables HRAM Compound Database,mzCloud Best Sim. Match,Group Area: 2,Group Area: 3,Group Area: 4,Group Area: 5,Group Area: 6,Group Area: 1,Group Area: Pool,Group CV [%]: 2,Group CV [%]: 3,Group CV [%]: 4,Group CV [%]: 5,Group CV [%]: 6,Group CV [%]: 1,Group CV [%]: Pool,Ratio: (1) / (Pool),Ratio: (2) / (Pool),Ratio: (3) / (Pool),Ratio: (4) / (Pool),Ratio: (5) / (Pool),Ratio: (6) / (Pool),Ratio: (3) / (2),Ratio: (4) / (2),Ratio: (5) / (2),Ratio: (6) / (2),Ratio: (1) / (2),Ratio: (4) / (3),Ratio: (5) / (3),Ratio: (6) / (3),Ratio: (1) / (3),Ratio: (5) / (4),Ratio: (6) / (4),Ratio: (1) / (4),Ratio: (6) / (5),Ratio: (1) / (5),Ratio: (1) / (6),Log2 Fold Change: (1) / (Pool),Log2 Fold Change: (2) / (Pool),Log2 Fold Change: (3) / (Pool),Log2 Fold Change: (4) / (Pool),Log2 Fold Change: (5) / (Pool),Log2 Fold Change: (6) / (Pool),Log2 Fold Change: (3) / (2),Log2 Fold Change: (4) / (2),Log2 Fold Change: (5) / (2),Log2 Fold Change: (6) / (2),Log2 Fold Change: (1) / (2),Log2 Fold Change: (4) / (3),Log2 Fold Change: (5) / (3),Log2 Fold Change: (6) / (3),Log2 Fold Change: (1) / (3),Log2 Fold Change: (5) / (4),Log2 Fold Change: (6) / (4),Log2 Fold Change: (1) / (4),Log2 Fold Change: (6) / (5),Log2 Fold Change: (1) / (5),Log2 Fold Change: (1) / (6),P-value: (1) / (Pool),P-value: (2) / (Pool),P-value: (3) / (Pool),P-value: (4) / (Pool),P-value: (5) / (Pool),P-value: (6) / (Pool),P-value: (3) / (2),P-value: (4) / (2),P-value: (5) / (2),P-value: (6) / (2),P-value: (1) / (2),P-value: (4) / (3),P-value: (5) / (3),P-value: (6) / (3),P-value: (1) / (3),P-value: (5) / (4),P-value: (6) / (4),P-value: (1) / (4),P-value: (6) / (5),P-value: (1) / (5),P-value: (1) / (6),Adj. P-value: (1) / (Pool),Adj. P-value: (2) / (Pool),Adj. P-value: (3) / (Pool),Adj. P-value: (4) / (Pool),Adj. P-value: (5) / (Pool),Adj. P-value: (6) / (Pool),Adj. P-value: (3) / (2),Adj. P-value: (4) / (2),Adj. P-value: (5) / (2),Adj. P-value: (6) / (2),Adj. P-value: (1) / (2),Adj. P-value: (4) / (3),Adj. P-value: (5) / (3),Adj. P-value: (6) / (3),Adj. P-value: (1) / (3),Adj. P-value: (5) / (4),Adj. P-value: (6) / (4),Adj. P-value: (1) / (4),Adj. P-value: (6) / (5),Adj. P-value: (1) / (5),Adj. P-value: (1) / (6)
FALSE,N-FRUCTOSYL VALINE,C11 H21 N O7,Full match,Invalid mass,Full match,No results,,279.13169,0.653,269686.9726,2,1,,No matches found,No matches found,69.2,124336.9572,171118.8964,268488.0882,28895.12743,387181.596,333200.1768,240365.0473,19.56494495,6.912522652,20.21064359,11.03520104,11.45604905,13.74719402,10.26423763,1.386,0.517,0.712,1.117,0.12,1.611,1.376,2.159,0.232,3.114,2.68,1.569,0.169,2.263,1.947,0.108,1.442,1.241,13.4,11.531,0.861,0.47,-0.95,-0.49,0.16,-3.06,0.69,0.46,1.11,-2.11,1.64,1.42,0.65,-2.57,1.18,0.96,-3.22,0.53,0.31,3.74,3.53,-0.22,0.047222637,0.000389344,0.053471946,0.387356951,7.49E-12,0.005035711,0.311362046,3.98E-05,4.45E-09,1.32E-06,6.24E-06,0.002635753,4.35E-10,4.89E-05,0.000306637,9.46E-12,0.36813697,0.909495994,2.34E-12,4.57E-12,0.939818627,0.133672545,0.001119888,0.114201561,0.823999876,1.79E-11,0.017325436,0.490658895,0.000141884,1.06E-08,5.13E-06,2.13E-05,0.009470106,9.63E-10,0.000225514,0.000852211,2.30E-11,0.815541528,1,6.11E-12,1.41E-11,1
FALSE,D-Asparagine,C4 H8 N2 O3,Full match,Invalid mass,Full match,Full match,,132.05348,0.967,576815.2013,25,36,,Multiple matches found,No matches found,73.6,138895.1525,576815.2013,404611.8244,64885.69403,237427.2071,314486.5785,314867.4831,7.3338073,1.704911903,3.875694036,2.854847856,4.710938982,6.423553798,5.560232529,0.999,0.441,1.832,1.285,0.206,0.754,4.153,2.913,0.467,1.709,2.264,0.701,0.112,0.412,0.545,0.16,0.587,0.777,3.659,4.847,1.325,0,-1.18,0.87,0.36,-2.28,-0.41,2.05,1.54,-1.1,0.77,1.18,-0.51,-3.15,-1.28,-0.88,-2.64,-0.77,-0.36,1.87,2.28,0.41,0.997617417,4.14E-12,3.86E-10,0.000127163,2.28E-14,4.22E-06,2.36E-14,4.07E-13,3.63E-11,2.50E-08,2.67E-11,2.88E-06,2.26E-14,4.47E-12,1.32E-09,2.28E-14,7.37E-09,0.00018173,2.78E-14,2.30E-14,4.01E-05,1,4.81E-11,6.08E-09,0.000527382,7.98E-14,2.97E-05,5.35E-13,6.14E-12,1.01E-10,1.31E-07,3.26E-10,1.86E-05,8.76E-14,1.11E-10,8.99E-09,8.69E-14,5.72E-08,0.000619272,9.17E-14,1.15E-13,0.000143918
FALSE,Pipecolic acid,C6 H11 N O2,Full match,Full match,Not the top hit,Full match,,129.07914,0.653,592588.9148,58,8,96.5,Multiple matches found,No matches found,,81600.30112,527048.3997,60685.69503,26062.08115,781443.1389,299571.7038,356257,17.49231945,10.66948885,8.90037928,21.27690511,9.983718376,10.70565847,17.46988748,0.841,0.229,1.479,0.17,0.073,2.193,6.459,0.744,0.319,9.576,3.671,0.115,0.049,1.483,0.568,0.429,12.877,4.936,29.984,11.495,0.383,-0.25,-2.13,0.57,-2.55,-3.77,1.13,2.69,-0.43,-1.65,3.26,1.88,-3.12,-4.34,0.57,-0.82,-1.22,3.69,2.3,4.91,3.52,-1.38,0.999998528,1.06E-08,0.003854084,9.17E-10,5.66E-12,1.41E-05,5.75E-10,0.407589026,1.29E-05,4.88E-11,6.28E-08,8.46E-11,1.66E-12,0.143577973,0.007766672,0.00049516,1.15E-11,5.73E-09,2.49E-13,2.84E-11,4.42E-05,1,5.79E-08,0.010107524,1.23E-08,1.37E-11,8.46E-05,3.56E-09,0.673025089,2.52E-05,3.55E-10,3.08E-07,1.24E-09,4.41E-12,0.305424317,0.01720567,0.000910346,1.92E-10,3.16E-08,7.17E-13,7.76E-11,0.000156429
FALSE,Trigonelline,C7 H7 N O2,Full match,Full match,Not the top hit,Full match,,137.04772,0.742,2452687.875,40,8,98.4,Multiple matches found,No matches found,,142487.2501,1696272.878,1595117.197,736978.1085,1329737.991,296917.7901,860785.4817,139.6858073,13.845785,11.8845908,82.10309291,81.31522225,58.42771091,30.51014519,0.345,0.166,1.971,1.853,0.856,1.545,11.905,11.195,5.172,9.332,2.084,0.94,0.434,0.784,0.175,0.462,0.834,0.186,1.804,0.403,0.223,-1.54,-2.59,0.98,0.89,-0.22,0.63,3.57,3.48,2.37,3.22,1.06,-0.09,-1.2,-0.35,-2.51,-1.11,-0.26,-2.43,0.85,-1.31,-2.16,0.928924914,0.831571835,0.858267475,0.938536992,0.771440871,0.956635207,0.295292424,0.393512235,0.999999814,0.429742009,0.999983434,0.999990938,0.251378639,0.999950961,0.405064528,0.340161789,0.999999988,0.520111894,0.373588312,0.999841333,0.560361404,1,1,1,1,1,1,0.468924272,0.654833735,1,0.662570532,1,1,0.392664444,1,0.641152433,0.536833502,1,1,0.619751154,1,0.956278631
FALSE,Valylvaline,C10 H20 N2 O3,Full match,No results,Full match,No results,,216.14763,2.195,212467.374,4,0,,No matches found,No matches found,,258901.0708,71621.77128,64817.54387,6198.587228,65705.64859,291301.3265,116893.016,2.098672528,19.06726262,4.444324276,22.20250096,25.27436214,6.579742691,2.818345872,2.492,2.215,0.613,0.555,0.053,0.562,0.277,0.25,0.024,0.254,1.125,0.905,0.087,0.917,4.067,0.096,1.014,4.494,10.6,46.995,4.433,1.32,1.15,-0.71,-0.85,-4.24,-0.83,-1.85,-2,-5.38,-1.98,0.17,-0.14,-3.53,-0.12,2.02,-3.39,0.02,2.17,3.41,5.55,2.15,8.07E-06,4.36E-05,0.001135856,0.001114937,1.18E-13,0.000136131,1.16E-07,1.15E-07,2.92E-14,3.30E-08,0.965032524,1,1.92E-11,0.941718557,3.75E-08,1.93E-11,0.943897442,3.71E-08,3.95E-11,2.61E-14,1.15E-08,4.19E-05,0.00014359,0.003267112,0.003950272,3.28E-13,0.000662089,4.93E-07,5.91E-07,1.39E-13,1.67E-07,1,1,4.61E-11,1,1.92E-07,4.59E-11,1,1.83E-07,9.22E-11,1.19E-13,8.00E-08
FALSE,L-Phenylalanine,C9 H11 N O2,Full match,Full match,Full match,Full match,,165.07923,1.468,1499446.469,89,2,93.9,Multiple matches found,Single match found,,242812.6057,896935.5523,2232150.125,143551.214,647501.7861,290534.7696,779531.166,5.446145727,2.001794628,4.291726618,2.019702657,1.414335829,4.500229362,2.218867906,0.373,0.311,1.151,2.863,0.184,0.831,3.694,9.193,0.591,2.667,1.197,2.489,0.16,0.722,0.324,0.064,0.29,0.13,4.511,2.024,0.449,-1.42,-1.68,0.2,1.52,-2.44,-0.27,1.89,3.2,-0.76,1.42,0.26,1.32,-2.64,-0.47,-1.63,-3.96,-1.79,-2.94,2.17,1.02,-1.16,2.29E-14,2.26E-14,0.000598727,2.28E-14,2.26E-14,1.02E-05,2.26E-14,2.26E-14,5.67E-11,2.32E-14,4.13E-05,2.40E-14,2.26E-14,3.06E-08,2.29E-14,2.26E-14,2.28E-14,2.26E-14,2.26E-14,4.59E-13,3.97E-14,8.70E-13,5.01E-13,0.001873212,2.28E-12,7.98E-14,6.39E-05,5.35E-13,5.23E-13,1.56E-10,3.88E-13,0.00012296,1.14E-12,8.76E-14,2.78E-07,9.63E-13,8.69E-14,9.65E-13,7.60E-13,8.46E-14,1.56E-12,9.05E-13
FALSE,Ethidium,C21 H19 N3,No match,Invalid mass,No results,No results,,313.15224,0.673,999279.1052,0,1,51.2,No matches found,No matches found,,85835.05087,989453.8505,860835.3791,34769.15887,604135.5156,279598.5472,507647.0138,6.215255377,0.74624798,10.01490575,4.296456171,8.950350227,3.846982684,14.18693934,0.551,0.169,1.949,1.696,0.068,1.19,11.527,10.029,0.405,7.038,3.257,0.87,0.035,0.611,0.283,0.04,0.702,0.325,17.376,8.042,0.463,-0.86,-2.56,0.96,0.76,-3.87,0.25,3.53,3.33,-1.3,2.82,1.7,-0.2,-4.83,-0.71,-1.82,-4.63,-0.51,-1.62,4.12,3.01,-1.11,1.14E-06,1.26E-13,4.87E-07,1.32E-05,2.29E-14,0.440134647,2.41E-14,2.71E-14,2.43E-08,2.61E-13,4.29E-10,0.470159487,2.28E-14,4.00E-05,1.43E-10,2.28E-14,0.001446658,9.40E-10,2.30E-14,6.83E-14,3.63E-07,6.65E-06,1.87E-12,3.22E-06,6.39E-05,7.98E-14,0.949484017,5.35E-13,5.47E-13,5.52E-08,2.95E-12,3.35E-09,0.884131196,8.76E-14,0.000186828,1.30E-09,8.69E-14,0.004792335,5.71E-09,8.46E-14,2.60E-13,1.84E-06
FALSE,Isoquinoline,C9 H7 N,Full match,Full match,Not the top hit,Full match,,129.05799,2.016,192521.5898,5,2,90.9,Multiple matches found,No matches found,,208258.8529,145933.9051,225450.5879,58848.15503,123678.7028,273820.401,186076.2953,5.58624742,2.052180377,3.32932161,6.504371912,3.013701864,3.362045085,3.028272252,1.472,1.119,0.784,1.212,0.316,0.665,0.701,1.083,0.283,0.594,1.315,1.545,0.403,0.847,1.876,0.261,0.549,1.215,2.102,4.653,2.214,0.56,0.16,-0.35,0.28,-1.66,-0.59,-0.51,0.11,-1.82,-0.75,0.39,0.63,-1.31,-0.24,0.91,-1.94,-0.87,0.28,1.07,2.22,1.15,1.48E-08,0.0369187,1.26E-05,0.000258566,2.30E-14,2.61E-09,3.99E-07,0.301158048,2.31E-14,5.04E-10,5.98E-06,2.19E-08,1.16E-13,0.000386762,5.72E-11,2.29E-14,6.34E-11,0.000304647,5.95E-12,2.28E-14,1.10E-12,1.29E-07,0.078069187,5.98E-05,0.001017152,7.98E-14,3.49E-08,1.57E-06,0.519100261,1.28E-13,3.21E-09,2.05E-05,1.97E-07,3.41E-13,0.001457166,5.77E-10,8.69E-14,8.07E-10,0.00101549,1.50E-11,1.15E-13,1.63E-11
FALSE,2-Hydroxycinnamic acid,C9 H8 O3,Full match,Full match,Not the top hit,Full match,,164.04759,0.936,660042.0086,32,2,72.2,Multiple matches found,Single match found,,146739.5258,444911.335,1016161.803,62992.35476,530459.6366,270280.445,440863.0522,7.248601468,1.875536565,4.39860142,3.231050358,1.087478851,2.894037173,6.097064317,0.613,0.333,1.009,2.305,0.143,1.203,3.032,6.925,0.429,3.615,1.842,2.284,0.142,1.192,0.607,0.062,0.522,0.266,8.421,4.291,0.51,-0.71,-1.59,0.01,1.2,-2.81,0.27,1.6,2.79,-1.22,1.85,0.88,1.19,-2.82,0.25,-0.72,-4.01,-0.94,-1.91,3.07,2.1,-0.97,2.75E-09,2.54E-14,0.999893321,9.13E-13,2.26E-14,0.000514207,5.04E-14,2.26E-14,1.76E-12,2.39E-14,4.83E-10,6.12E-12,2.26E-14,0.002807741,1.03E-08,2.26E-14,2.22E-10,2.35E-14,2.26E-14,2.30E-14,8.62E-11,2.94E-08,5.01E-13,1,4.88E-11,7.98E-14,0.002157654,8.30E-13,5.23E-13,5.86E-12,3.88E-13,3.72E-09,1.39E-10,8.76E-14,0.00860826,5.89E-08,8.69E-14,2.47E-09,7.60E-13,8.46E-14,1.15E-13,8.78E-10
FALSE,D-Tryptophan,C11 H12 N2 O2,Full match,No results,Partial match,Full match,,204.09007,2.038,311579.1933,34,0,,Multiple matches found,No matches found,,148764.2297,283376.6822,242919.7648,26397.24845,212437.1148,248217.6853,188613.4849,2.609247184,10.21281798,7.088640631,14.213337,11.5140657,38.37961787,10.46650187,1.316,0.789,1.502,1.288,0.14,1.126,1.905,1.633,0.177,1.428,1.669,0.857,0.093,0.75,0.876,0.109,0.875,1.022,8.048,9.403,1.168,0.4,-0.34,0.59,0.37,-2.84,0.17,0.93,0.71,-2.49,0.51,0.74,-0.22,-3.42,-0.42,-0.19,-3.2,-0.19,0.03,3.01,3.23,0.22,0.073406269,0.31065475,0.069270331,0.37495492,1.52E-10,0.999866727,0.00254224,0.015605384,7.34E-09,0.288143463,0.00268606,0.962905354,6.40E-11,0.205922358,1,1.40E-10,0.669718954,0.967962064,6.53E-10,6.55E-11,0.215383783,0.198847361,0.533548286,0.145617394,0.804011552,3.32E-10,1,0.005702719,0.036299479,1.72E-08,0.475792447,0.006275294,1,1.47E-10,0.422101385,1,3.11E-10,1,1,1.44E-09,1.71E-10,0.443193553
FALSE,Acetonecyanohydrin,C4 H7 N O,Full match,No results,Partial match,Full match,,85.05276,0.507,304987.5785,15,0,,Single match found,No matches found,,125986.8188,304987.5785,286158.7799,50201.65789,299374.6869,247156.8473,254631.2411,5.811137768,4.95070971,4.178418178,4.025134361,1.600883916,5.13333886,6.11684642,0.971,0.495,1.198,1.124,0.197,1.176,2.421,2.271,0.398,2.376,1.962,0.938,0.165,0.982,0.81,0.175,1.046,0.864,5.963,4.923,0.826,-0.04,-1.02,0.26,0.17,-2.34,0.23,1.28,1.18,-1.33,1.25,0.97,-0.09,-2.6,-0.03,-0.3,-2.51,0.07,-0.21,2.58,2.3,-0.28,0.947807525,2.64E-11,0.002403562,0.04628637,2.28E-14,0.016373686,5.67E-12,1.36E-11,2.27E-12,9.95E-12,3.03E-10,0.816091681,2.28E-14,0.971505615,0.00117009,2.28E-14,0.998775078,0.016576686,2.28E-14,2.30E-14,0.006433706,1,2.50E-10,0.00652744,0.125591019,7.98E-14,0.049772284,5.47E-11,1.43E-10,7.50E-12,8.07E-11,2.47E-09,1,8.76E-14,1,0.002988059,8.69E-14,1,0.044677719,8.46E-14,1.15E-13,0.017243069
FALSE,N-(Chloroacetyl)urea,C3 H5 Cl N2 O2,No results,Invalid mass,Full match,No results,,136.00455,0.417,211298.0036,2,1,,No matches found,No matches found,60.8,202753.7068,211298.0036,258830.4178,52994.96858,188228.6284,238735.707,214100.7056,11.69861001,3.09167468,15.25006158,18.01346279,6.491218939,2.759951544,5.995432014,1.115,0.947,0.987,1.209,0.248,0.879,1.042,1.277,0.261,0.928,1.177,1.225,0.251,0.891,1.13,0.205,0.727,0.922,3.552,4.505,1.268,0.16,-0.08,-0.02,0.27,-2.01,-0.19,0.06,0.35,-1.94,-0.11,0.24,0.29,-2,-0.17,0.18,-2.29,-0.46,-0.12,1.83,2.17,0.34,0.55902653,0.947705502,0.999950524,0.044961112,3.93E-11,0.873390952,0.993988353,0.016125113,4.89E-10,0.999990866,0.218760622,0.055630352,2.63E-10,0.974996383,0.526434336,1.87E-11,0.010738327,0.779884373,5.99E-10,5.24E-11,0.15598262,1,1,1,0.123039359,8.89E-11,1,1,0.037427053,1.25E-09,1,0.364601036,0.140387916,5.89E-10,1,0.810481639,4.46E-11,0.031479478,1,1.33E-09,1.39E-10,0.335817713
FALSE,N-Methylphenylethanolamine,C9 H13 N O,Full match,Invalid mass,Partial match,Full match,,151.0999,0.994,835158.5788,70,161,,Multiple matches found,No matches found,83.8,145073.8328,835158.5788,440634.1158,19958.3442,506729.1925,235168.2944,469873.8135,7.09678983,4.141970235,5.119608878,1.969251584,2.325574273,5.097459347,4.398662908,0.5,0.309,1.777,0.938,0.042,1.078,5.757,3.037,0.138,3.493,1.621,0.528,0.024,0.607,0.282,0.045,1.15,0.534,25.389,11.783,0.464,-1,-1.7,0.83,-0.09,-4.56,0.11,2.53,1.6,-2.86,1.8,0.7,-0.92,-5.39,-0.72,-1.83,-4.46,0.2,-0.91,4.67,3.56,-1.11,1.36E-11,2.34E-14,7.90E-11,0.907961136,2.26E-14,0.282372684,2.26E-14,3.38E-14,2.26E-14,2.41E-14,1.12E-08,1.71E-10,2.26E-14,3.77E-09,2.36E-14,2.26E-14,0.078113905,1.50E-10,2.26E-14,2.26E-14,1.41E-11,2.69E-10,5.01E-13,1.48E-09,1,7.98E-14,0.669931114,5.35E-13,6.57E-13,1.28E-13,3.88E-13,6.16E-08,2.35E-09,8.76E-14,4.43E-08,9.63E-13,8.69E-14,0.206375008,1.03E-09,8.46E-14,1.15E-13,1.66E-10
FALSE,Acetophenone,C8 H8 O,Full match,Full match,Full match,Full match,,120.05763,0.988,868019.6596,15,1,80.6,Single match found,Multiple matches found,,153885.9811,798017.7845,466381.3623,22195.77649,550648.8741,232112.2909,424313.4775,1.586902355,7.417011246,7.589856265,6.691778955,6.228049114,15.0246392,6.609490753,0.547,0.363,1.881,1.099,0.052,1.298,5.186,3.031,0.144,3.578,1.508,0.584,0.028,0.69,0.291,0.048,1.181,0.498,24.809,10.457,0.422,-0.87,-1.46,0.91,0.14,-4.26,0.38,2.37,1.6,-2.79,1.84,0.59,-0.77,-5.17,-0.54,-1.78,-4.39,0.24,-1.01,4.63,3.39,-1.25,1.52E-07,8.65E-11,2.27E-07,0.985280362,2.26E-14,0.03243184,4.86E-13,2.54E-10,4.53E-14,3.14E-11,0.000169123,2.91E-06,2.26E-14,0.000192296,3.30E-11,2.28E-14,0.216730568,2.80E-07,2.26E-14,2.33E-14,1.27E-08,1.04E-06,7.46E-10,1.63E-06,1,7.98E-14,0.093473012,6.19E-12,2.01E-09,2.00E-13,2.36E-10,0.000465196,1.88E-05,8.76E-14,0.000782345,3.72E-10,8.69E-14,0.510796714,1.25E-06,8.46E-14,1.15E-13,8.65E-08
FALSE,moroxydine,C6 H13 N5 O,Full match,Invalid mass,Full match,No results,,171.11223,0.774,161346.4132,1,7,,No matches found,No matches found,76.8,113288.4145,3344.198841,7328.253051,1298.93391,22824.06778,230626.3828,59393.26522,3.445374509,10.12309224,4.907534658,19.45758826,3.890401292,2.57662321,5.445976838,3.883,1.907,0.056,0.123,0.022,0.384,0.03,0.065,0.011,0.201,2.036,2.191,0.388,6.825,68.963,0.177,3.115,31.471,17.571,177.551,10.105,1.96,0.93,-4.15,-3.02,-5.51,-1.38,-5.08,-3.95,-6.45,-2.31,1.03,1.13,-1.36,2.77,6.11,-2.5,1.64,4.98,4.14,7.47,3.34,1.07E-11,2.68E-07,2.28E-14,3.04E-14,2.26E-14,3.22E-09,2.26E-14,2.32E-14,2.26E-14,4.96E-12,1.32E-06,8.53E-08,6.31E-09,3.00E-13,2.26E-14,7.42E-13,1.60E-09,2.28E-14,2.30E-14,2.26E-14,2.80E-14,2.24E-10,1.19E-06,1.34E-12,2.50E-12,7.98E-14,4.11E-08,5.35E-13,5.23E-13,1.28E-13,4.32E-11,5.16E-06,6.86E-07,1.31E-08,8.69E-12,9.63E-13,1.96E-12,1.40E-08,7.60E-13,8.46E-14,1.15E-13,6.80E-13
FALSE,Prolylleucine,C11 H20 N2 O3,Full match,Full match,Partial match,Full match,,228.14749,0.744,359224.2084,6,3,96.4,Multiple matches found,No matches found,,109430.0067,362837.8434,261054.9831,16150.93025,307998.0577,230232.0407,230939.6955,14.31565738,5.067761397,7.054087843,3.456632105,3.611702777,2.621141942,2.620959605,0.997,0.474,1.571,1.13,0.07,1.334,3.316,2.386,0.148,2.815,2.104,0.719,0.045,0.849,0.635,0.062,1.18,0.882,19.07,14.255,0.748,0,-1.08,0.65,0.18,-3.84,0.42,1.73,1.25,-2.76,1.49,1.07,-0.47,-4.49,-0.24,-0.66,-4.01,0.24,-0.18,4.25,3.83,-0.42,0.999999371,1.68E-10,1.07E-06,0.100954115,2.26E-14,0.000396278,1.54E-12,8.06E-11,2.38E-14,1.25E-11,8.55E-10,0.000448503,2.26E-14,0.065489573,5.72E-06,2.26E-14,0.196221447,0.209790661,2.26E-14,2.26E-14,0.00160498,1,1.33E-09,6.79E-06,0.249470908,7.98E-14,0.001730682,1.72E-11,7.07E-10,1.28E-13,9.96E-11,6.10E-09,0.001845761,8.76E-14,0.149093283,2.06E-05,8.69E-14,0.471813367,0.454404874,8.46E-14,1.15E-13,0.004717936
FALSE,"1-Chloro-2,2,2-trifluoroethyl",C2 H Cl F3,No results,Invalid mass,Full match,No results,,116.97237,9.92,256057.1297,1,1,,No matches found,No matches found,74.2,270222.671,235073.2798,182631.6682,94929.00494,120659.6736,223695.7961,165686.6415,50.55759829,36.93824836,41.26960389,18.71960357,17.02071057,46.21558119,40.57625098,1.35,1.631,1.419,1.102,0.573,0.728,0.87,0.676,0.351,0.447,0.828,0.777,0.404,0.513,0.952,0.52,0.661,1.225,1.271,2.356,1.854,0.43,0.71,0.5,0.14,-0.8,-0.46,-0.2,-0.57,-1.51,-1.16,-0.27,-0.36,-1.31,-0.96,-0.07,-0.94,-0.6,0.29,0.35,1.24,0.89,0.993057811,0.840912068,0.999999984,0.999992966,0.492079166,0.657785709,0.918576477,0.949482447,0.11637433,0.178554264,0.996773327,0.999999747,0.573622027,0.721254463,0.997955813,0.507085841,0.655669255,0.999475504,0.999971146,0.294839726,0.416441561,1,1,1,1,0.71538683,1,1,1,0.166027377,0.31526908,1,1,0.819460038,1,1,0.756738981,1,1,1,0.486849548,0.779869603
FALSE,Pipecolic acid,C6 H11 N O2,Full match,Full match,Not the top hit,Full match,,129.07911,0.449,286452.9257,58,29,83.3,Multiple matches found,No matches found,96.1,210722.7048,282416.1261,308975.0136,12433.52698,201044.4214,220027.1644,222569.3196,8.680956169,10.92474365,5.303410734,0.415510022,4.269780353,7.967133276,3.830341565,0.989,0.947,1.269,1.388,0.056,0.903,1.34,1.466,0.059,0.954,1.044,1.094,0.044,0.712,0.779,0.04,0.651,0.712,16.17,17.696,1.094,-0.02,-0.08,0.34,0.47,-4.16,-0.15,0.42,0.55,-4.08,-0.07,0.06,0.13,-4.51,-0.49,-0.36,-4.64,-0.62,-0.49,4.02,4.15,0.13,0.998366201,0.990620594,0.004517886,0.00010063,2.26E-14,0.277296221,0.00341578,0.000114108,2.26E-14,0.751417589,0.925110119,0.562044601,2.26E-14,0.000205234,0.028376929,2.26E-14,9.31E-06,0.000838323,2.26E-14,2.26E-14,0.201941389,1,1,0.011592657,0.000423912,7.98E-14,0.660817275,0.007551415,0.000372243,1.28E-13,0.997539479,1,1,8.76E-14,0.000825564,0.057506276,8.69E-14,4.29E-05,0.002638253,8.46E-14,1.15E-13,0.422025949
FALSE,Pantothenicacid(VitaminB5),C9 H17 N O5,Full match,Invalid mass,Partial match,Full match,,219.11091,1.622,281624.0161,4,2,,Single match found,No matches found,64.8,96355.7342,284542.9142,234119.2667,34531.04686,290344.5115,217649.0746,210052.1783,4.288038218,3.023380042,4.3377621,1.549279116,11.08691255,2.30248094,5.62787174,1.036,0.459,1.355,1.115,0.164,1.382,2.953,2.43,0.358,3.013,2.259,0.823,0.121,1.02,0.765,0.147,1.24,0.93,8.408,6.303,0.75,0.05,-1.12,0.44,0.16,-2.6,0.47,1.56,1.28,-1.48,1.59,1.18,-0.28,-3.04,0.03,-0.39,-2.76,0.31,-0.11,3.07,2.66,-0.42,0.861587649,3.01E-11,1.30E-05,0.206725572,2.28E-14,7.49E-06,1.14E-12,2.54E-11,3.85E-12,9.26E-13,5.99E-11,0.003572568,2.26E-14,0.999904622,0.000390735,2.29E-14,0.001956788,0.900953301,2.26E-14,2.29E-14,0.000221122,1,2.80E-10,6.14E-05,0.472641799,7.98E-14,4.91E-05,1.30E-11,2.49E-10,1.24E-11,9.44E-12,6.41E-10,0.012291472,8.76E-14,1,0.001072016,8.69E-14,0.006306514,1,8.46E-14,1.15E-13,0.000716972
FALSE,(-)-alpha-Cedrene,C15 H24,Full match,Invalid mass,Partial match,Full match,,204.18808,5.509,178996.3947,141,57,,Multiple matches found,Multiple matches found,93.4,6656.696002,802.9817727,207703.1802,2891.666116,3478.169364,216541.9958,59288.02236,5.674194121,86.0177696,6.183226281,19.78579378,59.84914303,12.63089264,2.698196901,3.652,0.112,0.014,3.503,0.049,0.059,0.121,31.202,0.434,0.523,32.53,258.665,3.601,4.332,269.672,0.014,0.017,1.043,1.203,74.885,62.257,1.87,-3.15,-6.21,1.81,-4.36,-4.09,-3.05,4.96,-1.2,-0.94,5.02,8.01,1.85,2.11,8.08,-6.17,-5.9,0.06,0.27,6.23,5.96,0.006732449,4.09E-05,1.24E-08,0.016178467,4.00E-07,2.35E-07,0.001356532,5.64E-07,0.160777527,0.086921762,3.26E-07,1.26E-09,0.221374365,0.371087235,8.39E-10,1.84E-08,1.23E-08,0.999578423,0.999793945,1.17E-08,7.93E-09,0.021962562,0.000135923,1.30E-07,0.047297703,7.83E-07,2.15E-06,0.00316919,2.63E-06,0.224878372,0.168489647,1.39E-06,1.43E-08,0.347827564,0.691747981,6.15E-09,3.75E-08,8.81E-08,1,1,2.67E-08,5.66E-08
